n,time,set,threshold,algo
50000,19142.2,19,1,1
1000,457.7,2,1,1
50000,24997.2,22,1,1
5000,2822.5,8,1,1
1000,273.1,11,1,1
10000,3244,5,1,1
1000,272.9,14,1,1
10000,4865.3,6,1,1
50000,20520.3,8,1,1
1000,795,22,1,1
10000,6180.5,21,1,1
50000,24596.2,9,1,1
5000,2716.7,6,1,1
10000,4675.9,16,1,1
1000,495,10,1,1
500000,230836,9,1,1
100000,40189.8,10,1,1
1000,259.6,1,1,1
500000,229827,17,1,1
1000,516.4,3,1,1
100000,54627.9,6,1,1
1000,593.2,5,1,1
10000,4818.2,27,1,1
1000,262.5,28,1,1
10000,3355.3,28,1,1
10000,4255.8,24,1,1
50000,19473.6,4,1,1
1000,456.7,20,1,1
100000,45421.2,9,1,1
1000,260.4,13,1,1
5000,2453.7,14,1,1
100000,43487.7,3,1,1
500000,229954,4,1,1
100000,40988.4,18,1,1
10000,3639.7,26,1,1
50000,19632,0,1,1
10000,5756.5,22,1,1
100000,41367,21,1,1
1000,265.7,0,1,1
1000,258.9,4,1,1
1000,272.3,16,1,1
5000,1596.8,20,1,1
5000,1598.3,0,1,1
500000,226752,25,1,1
100000,44294,11,1,1
50000,20452.8,29,1,1
1000,262.8,19,1,1
100000,42671.1,23,1,1
5000,1555.8,1,1,1
100000,45687.6,19,1,1
1000,546,9,1,1
500000,238485,20,1,1
5000,2637.8,22,1,1
50000,20601.1,7,1,1
10000,3324.1,15,1,1
100000,40692.3,15,1,1
50000,24805.5,28,1,1
500000,231403,10,1,1
10000,4335.3,25,1,1
5000,1582.1,15,1,1
10000,3565.4,10,1,1
500000,233791,0,1,1
10000,3590.7,2,1,1
5000,2626.9,19,1,1
500000,233221,1,1,1
50000,20787.8,24,1,1
10000,3315.8,1,1,1
100000,43392.6,2,1,1
50000,24447.9,20,1,1
10000,4320.1,18,1,1
1000,267.9,29,1,1
100000,40989.7,0,1,1
5000,2551.6,9,1,1
100000,39962.9,27,1,1
50000,19078.7,27,1,1
5000,1892.4,11,1,1
500000,230884,22,1,1
1000,260.3,18,1,1
100000,40644.9,16,1,1
50000,24869.1,10,1,1
50000,24770.5,23,1,1
10000,4436.6,13,1,1
500000,231748,29,1,1
10000,5932.1,4,1,1
500000,231865,11,1,1
5000,1858.2,23,1,1
10000,5983.3,3,1,1
100000,43226.9,24,1,1
100000,46588.7,28,1,1
500000,240726,18,1,1
1000,651.6,23,1,1
100000,41025.5,20,1,1
50000,24480.5,14,1,1
1000,526.2,15,1,1
1000,412.7,7,1,1
1000,370.6,26,1,1
500000,232050,19,1,1
10000,4201.9,23,1,1
5000,1537.3,3,1,1
10000,3353.1,8,1,1
10000,3333.6,14,1,1
50000,19371.6,13,1,1
5000,1570.5,10,1,1
50000,20721.2,3,1,1
100000,41300.4,1,1,1
10000,6435.7,0,1,1
5000,3275.9,7,1,1
50000,24338.4,5,1,1
5000,1565,18,1,1
5000,2075.6,5,1,1
50000,20845.5,25,1,1
10000,4957.5,12,1,1
500000,235227,5,1,1
5000,3041.5,26,1,1
500000,231779,24,1,1
5000,2398.2,25,1,1
100000,45752,26,1,1
10000,4846.1,19,1,1
50000,24813.8,21,1,1
500000,232214,28,1,1
10000,5776.1,9,1,1
10000,6491.4,20,1,1
50000,19154.7,1,1,1
50000,19600.3,26,1,1
100000,45091.1,4,1,1
100000,45371.1,7,1,1
1000,572.6,6,1,1
500000,239347,16,1,1
100000,40338.1,29,1,1
500000,233774,8,1,1
5000,2139.5,24,1,1
50000,20597.1,18,1,1
500000,233639,12,1,1
5000,1671.4,2,1,1
500000,229646,6,1,1
1000,259.3,25,1,1
1000,312.3,24,1,1
100000,46928.2,13,1,1
500000,233058,23,1,1
10000,6436.9,29,1,1
500000,238557,2,1,1
500000,229340,13,1,1
100000,41088,17,1,1
5000,1716.9,12,1,1
50000,20881.1,12,1,1
5000,2485.5,28,1,1
50000,19564.4,15,1,1
1000,260,27,1,1
100000,42219.1,5,1,1
5000,1999.4,16,1,1
5000,2712.6,21,1,1
500000,229937,21,1,1
100000,41463.6,14,1,1
